"","Site","Day","totalAdult","trainValidate","dailyTotalPrecip","dailyPrecipExpUncert","dailyMaxRH","dailyMinRH","dailyAvgExpUncertRH","dailyMaxAirTemp","dailyMinAirTemp","dailyAvgExpUncert"
"1","OSBS","2014-04-17",21,"Train",NA,NA,NA,NA,NA,22.6219,12.0744,0.0155425694444444
"2","OSBS","2014-05-12",9,"Train",NA,NA,NA,NA,NA,30.0336,19.3939,0.0141653472222222
"3","OSBS","2014-06-04",5,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"4","SCBI","2014-06-09",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"5","SCBI","2014-06-10",6,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"6","SCBI","2014-06-11",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"7","OSBS","2014-06-24",2,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"8","ORNL","2014-06-26",6,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"9","OSBS","2014-06-27",3,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"10","SCBI","2014-07-01",2,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"11","ORNL","2014-07-16",2,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"12","OSBS","2014-07-18",3,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"13","SCBI","2014-07-25",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"14","SCBI","2014-07-28",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"15","OSBS","2014-08-04",8,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"16","SCBI","2014-08-11",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"17","SCBI","2014-08-13",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"18","ORNL","2014-08-25",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"19","SCBI","2014-09-02",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"20","SCBI","2014-09-03",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"21","OSBS","2014-09-05",3,"Train",NA,NA,NA,NA,NA,30.7413,22.0724,0.0209970138888889
"22","ORNL","2014-09-16",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"23","OSBS","2014-09-17",1,"Train",NA,NA,NA,NA,NA,29.3004,21.6165,0.020798125
"24","SCBI","2014-09-30",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"25","ORNL","2014-10-06",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"26","ORNL","2014-10-09",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"27","ORNL","2014-10-28",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"28","ORNL","2014-12-08",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"29","SCBI","2015-04-13",4,"Train",NA,NA,NA,NA,NA,23.1446,11.6216,0.0130527777777778
"30","SCBI","2015-05-04",2,"Train",NA,NA,NA,NA,NA,26.5165,19.6857,0.0205013194444444
"31","SERC","2015-05-04",10,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"32","SERC","2015-05-05",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"33","ORNL","2015-05-06",8,"Train",NA,NA,NA,NA,NA,27.7851,17.1676,0.0228727777777778
"34","SERC","2015-05-18",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"35","SERC","2015-05-19",4,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"36","SCBI","2015-05-26",5,"Train",NA,NA,NA,NA,NA,27.0552,18.5477,0.023460625
"37","SCBI","2015-05-27",1,"Train",NA,NA,NA,NA,NA,25.9766,19.5229,0.0191928472222222
"38","ORNL","2015-05-29",5,"Train",NA,NA,NA,NA,NA,27.0308,18.4381,0.0193709722222222
"39","SERC","2015-06-08",5,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"40","OSBS","2015-06-10",13,"Train",NA,NA,NA,NA,NA,31.1007,21.0258,0.0184242361111111
"41","SERC","2015-06-10",4,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"42","OSBS","2015-06-11",0,"Train",NA,NA,NA,NA,NA,31.9147,21.1485,0.0196014583333333
"43","ORNL","2015-06-18",3,"Train",NA,NA,NA,NA,NA,30.6989,22.5556,0.0197206944444444
"44","SERC","2015-06-29",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"45","SERC","2015-06-30",2,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"46","OSBS","2015-07-01",8,"Train",NA,NA,NA,NA,NA,31.6685,20.987,0.0190335877862595
"47","ORNL","2015-07-09",2,"Train",NA,NA,NA,NA,NA,30.4484,22.03,0.0191251388888889
"48","SCBI","2015-07-10",0,"Train",NA,NA,93.13,64.1,2.20307638888889,26.4508,19.8033,0.0176852777777778
"49","SERC","2015-07-20",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"50","OSBS","2015-07-22",7,"Train",NA,NA,NA,NA,NA,33.7399,22.8833,0.0240926388888889
"51","SERC","2015-07-22",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"52","OSBS","2015-07-23",0,"Train",NA,NA,NA,NA,NA,30.03,23.3439,0.0213860215053763
"53","SCBI","2015-07-27",0,"Train",NA,NA,99.67,65.81,2.20133333333333,27.1036,21.2976,0.0231759722222222
"54","SCBI","2015-07-29",0,"Train",NA,NA,102,74.68,2.20093906810036,27.4202,20.4062,0.0231683333333333
"55","SCBI","2015-07-31",0,"Train",NA,NA,63.79,37.85,2.20488194444444,27.2664,21.0845,0.0240534027777778
"56","SERC","2015-08-12",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"57","SERC","2015-08-13",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"58","OSBS","2015-08-13",0,"Train",NA,NA,NA,NA,NA,31.392,23.8766,0.01961875
"59","ORNL","2015-08-17",0,"Train",NA,NA,NA,NA,NA,26.4379,21.2319,0.0192000836820084
"60","SCBI","2015-08-18",0,"Train",NA,NA,99.42,53.35,2.20276388888889,28.0067,21.7685,0.0267265972222222
"61","SERC","2015-08-31",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"62","OSBS","2015-09-01",0,"Train",NA,NA,NA,NA,NA,31.2543,23.407,0.0195242886884108
"63","SERC","2015-09-01",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"64","SERC","2015-09-02",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"65","SCBI","2015-09-08",0,"Train",NA,NA,79.36,40.71,2.20136805555556,29.6505,22.3292,0.0254684283727399
"66","SCBI","2015-09-09",0,"Train",NA,NA,80.71,53.85,2.20238888888889,28.5653,23.5661,0.024441875
"67","ORNL","2015-09-14",0,"Train",NA,NA,NA,NA,NA,23.3334,8.032,0.0191022857142857
"68","SERC","2015-09-21",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"69","SERC","2015-09-22",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"70","ORNL","2015-10-06",0,"Train",NA,NA,NA,NA,NA,27.2058,16.8855,0.0193602564102564
"71","OSBS","2015-10-22",0,"Train",NA,NA,NA,NA,NA,27.8933,19.4402,0.0223219632768362
"72","SCBI","2016-03-08",0,"Train",NA,NA,NA,NA,NA,23.0996,15.1637,0.0263496483825598
"73","ORNL","2016-03-09",2,"Train",NA,NA,72.47,32.07,2.20003819444444,24.2245,14.9733,0.0193257928118393
