"","Site","Day","totalNymph","trainValidate","dailyTotalPrecip","dailyPrecipExpUncert","dailyMaxRH","dailyMinRH","dailyAvgExpUncertRH","dailyMaxAirTemp","dailyMinAirTemp","dailyAvgExpUncert"
"1","OSBS","2014-04-17",74,"Train",NA,NA,NA,NA,NA,22.6219,12.0744,0.0155425694444444
"2","OSBS","2014-05-12",54,"Train",NA,NA,NA,NA,NA,30.0336,19.3939,0.0141653472222222
"3","OSBS","2014-06-04",31,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"4","SCBI","2014-06-09",6,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"5","SCBI","2014-06-10",13,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"6","SCBI","2014-06-11",3,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"7","ORNL","2014-06-26",139,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"8","OSBS","2014-06-27",29,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"9","SCBI","2014-07-01",16,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"10","SCBI","2014-07-02",5,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"11","ORNL","2014-07-16",107,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"12","OSBS","2014-07-18",7,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"13","SCBI","2014-07-25",3,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"14","SCBI","2014-07-28",2,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"15","OSBS","2014-08-04",37,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"16","SCBI","2014-08-13",2,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"17","OSBS","2014-09-05",7,"Train",NA,NA,NA,NA,NA,30.7413,22.0724,0.0209970138888889
"18","OSBS","2014-09-17",22,"Train",NA,NA,NA,NA,NA,29.3004,21.6165,0.020798125
"19","SCBI","2014-09-29",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"20","ORNL","2014-10-06",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"21","SCBI","2014-10-21",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"22","ORNL","2014-10-28",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"23","SCBI","2015-04-13",3,"Train",NA,NA,NA,NA,NA,23.1446,11.6216,0.0130527777777778
"24","SCBI","2015-05-04",12,"Train",NA,NA,NA,NA,NA,26.5165,19.6857,0.0205013194444444
"25","SERC","2015-05-04",10,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"26","ORNL","2015-05-06",13,"Train",NA,NA,NA,NA,NA,27.7851,17.1676,0.0228727777777778
"27","SERC","2015-05-18",14,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"28","SERC","2015-05-19",16,"Train",NA,NA,NA,NA,NA,NA,NA,NA
